DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,FT,DPTO,fex_c_2011
5418304,1,1,1,50,05,1,,,1,6,VER TELEVISION,2,2,2,2,2,,,,,,,,04,1,05,1353.0913745
5418304,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1353.0913745
5418305,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418305,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1350.7709735
5418305,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418306,1,1,1,50,05,1,,,1,6,ESCUCHAR MUSICA,2,2,2,2,2,,,,,,,,04,1,05,1291.2165093
5418306,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1291.2165093
5418306,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1291.2165093
5418306,1,4,1,50,05,1,1,,4,4,,2,2,2,1,,,,,,,,1,04,1,05,1291.2165093
5418307,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1512.3721426
5418307,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1512.3721426
5418307,1,3,1,50,05,1,,,3,3,,2,2,2,2,2,,,,,,,,04,1,05,1512.3721426
5418308,1,1,1,50,05,1,,,1,6,VER TELEVISION,2,2,2,2,2,,,,,,,,04,1,05,624.89448632
5418308,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,624.89448632
5418309,1,1,1,50,05,1,,,1,6,LEER,2,2,2,2,2,,,,,,,,04,1,05,1291.2165093
5418309,1,2,1,50,05,1,,,1,6,LEER Y VER TELEVISION,2,2,2,2,2,,,,,,,,04,1,05,1291.2165093
5418309,1,3,1,50,05,1,,,1,5,,,,,,,,,,,,,,04,1,05,1291.2165093
5418309,1,4,1,50,05,1,,,4,1,,,,,,,,,,,,,,04,1,05,1291.2165093
5418310,1,1,1,50,05,1,1,,1,6,CUIDANDO LA HIJA,2,2,2,1,,,,,,,,1,04,1,05,1160.076019
5418310,1,2,1,50,05,1,,,1,6,VIENDO TELEVISION,2,2,2,2,2,,,,,,,,04,1,05,1160.076019
5418310,1,3,1,50,05,1,,,1,3,,2,2,2,2,2,,,,,,,,04,1,05,1160.076019
5418311,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,554.51108852
5418311,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,554.51108852
5418311,1,3,1,50,05,1,,,3,4,,1,,,,,,,,,,,,04,1,05,554.51108852
5418312,1,1,1,50,05,1,,,1,5,,,,,,,,,,,,,,04,1,05,590.90135976
5418312,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,590.90135976
5418312,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,590.90135976
5418312,1,4,1,50,05,1,,,4,6,DESCANSANDO,2,1,,,,,,,,,,,04,1,05,590.90135976
5418312,1,5,1,50,05,1,,,5,3,,2,2,2,2,2,,,,,,,,04,1,05,590.90135976
5418314,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1226.627071
5418314,1,2,1,50,05,1,,,1,3,,2,2,2,2,2,,,,,,,,04,1,05,1226.627071
5418315,1,1,1,50,05,1,2,,1,6,PASEAR,2,2,2,1,,,,,,,,1,04,1,05,1372.919943
5418315,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418316,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1378.1558296
5418316,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1378.1558296
5418317,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418317,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418317,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418318,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1117.140101
5418318,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1117.140101
5418318,1,3,1,50,05,1,,,1,6,DORMIR,2,2,2,2,2,,,,,,,,04,1,05,1117.140101
5418318,1,4,1,50,05,1,,,1,6,ENFERMA,2,2,2,2,2,,,,,,,,04,1,05,1117.140101
5418318,1,5,1,50,05,1,1,,5,2,,2,2,2,1,,,,,,,,1,04,1,05,1117.140101
5418318,1,6,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1117.140101
5418321,1,1,1,50,05,1,,,1,4,,1,,,,,,,,,,,,04,1,05,1373.8051428
5418321,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1373.8051428
5418321,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1373.8051428
5418326,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418326,1,2,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418327,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,637.86931382
5418327,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,637.86931382
5418327,1,3,1,50,05,1,,,3,4,,2,2,2,2,2,,,,,,,,04,1,05,637.86931382
5418328,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1217.7279297
5418328,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1217.7279297
5418329,1,1,1,50,05,1,,,4,4,,2,2,2,2,2,,,,,,,,04,1,05,1147.6619603
5418329,1,2,1,50,05,1,,,4,6,VER TV,2,2,2,2,2,,,,,,,,04,1,05,1147.6619603
5418329,1,3,1,50,05,1,,,4,6,VER TV,2,2,2,2,2,,,,,,,,04,1,05,1147.6619603
5418329,1,4,1,50,05,1,,,4,1,,,,,,,,,,,,,,04,1,05,1147.6619603
5418330,1,1,1,50,05,1,,,1,6,VER TELEVISION,2,2,2,2,2,,,,,,,,04,1,05,1249.7889726
5418330,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1249.7889726
5418332,1,1,1,50,05,1,,,1,6,LICENCIA POR PATERNIDAD,2,1,,,,,,,,,,,04,1,05,1578.9231946
5418332,1,2,1,50,05,1,,,2,6,LICENCIA DE MATERNIDAD,2,1,,,,,,,,,,,04,1,05,1578.9231946
5418333,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1490.0460104
5418333,1,2,1,50,05,1,,,2,6,CUIDANDO SUS HIJOS,1,,,,,,,,,,,,04,1,05,1490.0460104
5418333,1,3,1,50,05,1,,,3,3,,2,2,2,2,2,,,,,,,,04,1,05,1490.0460104
5418335,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1353.0913745
5418335,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1353.0913745
5418336,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1344.1922332
5418336,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1344.1922332
5418337,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1505.2337024
5418337,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1505.2337024
5418337,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1505.2337024
5418338,1,1,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1638.836446
5418338,1,2,1,50,05,1,,,2,4,,1,,,,,,,,,,,,04,1,05,1638.836446
5418338,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1638.836446
5418339,1,1,1,50,05,1,,,1,6,VIENDO TV,2,2,2,2,2,,,,,,,,04,1,05,1291.2165093
5418339,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1291.2165093
5418339,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1291.2165093
5418339,1,4,1,50,05,1,,,4,1,,,,,,,,,,,,,,04,1,05,1291.2165093
5418341,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1137.7498869
5418341,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,13,FALTA DE DOCUMENTOS,,,,,,04,1,05,1137.7498869
5418341,1,4,1,50,05,1,,,4,4,,2,2,2,2,2,,,,,,,,04,1,05,1137.7498869
5418342,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1578.9231946
5418342,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,10,,,,,,,04,1,05,1578.9231946
5418343,1,1,1,50,05,1,,,1,6,PASEAR,1,,,,,,,,,,,,04,1,05,2432.2119752
5418343,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,2432.2119752
5418343,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,2432.2119752
5418343,1,6,1,50,05,1,,,6,2,,1,,,,,,,,,,,,04,1,05,2432.2119752
5418343,1,7,1,50,05,1,1,,7,4,,2,2,2,1,,,,,,,,1,04,1,05,2432.2119752
5418343,1,10,1,50,05,1,,,10,3,,1,,,,,,,,,,,,04,1,05,2432.2119752
5418343,1,11,1,50,05,1,3,,11,4,,2,2,2,1,,,,,,,,1,04,1,05,2432.2119752
5418344,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418344,1,2,1,50,05,1,2,,2,4,,2,2,2,1,,,,,,,,1,04,1,05,1372.919943
5418345,1,1,1,50,05,1,,,1,4,,1,,,,,,,,,,,,04,1,05,1358.3272611
5418345,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1358.3272611
5418346,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418346,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,11,,,,,,,04,1,05,1350.7709735
5418346,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1350.7709735
5418347,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1318.2425782
5418348,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1159.4765874
5418348,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1159.4765874
5418348,1,3,1,50,05,1,,,3,6,HACER EJERCICIO,2,2,2,2,1,11,,,,,,,04,1,05,1159.4765874
5418348,1,4,1,50,05,1,,,4,1,,,,,,,,,,,,,,04,1,05,1159.4765874
5418348,1,5,1,50,05,1,,,5,3,,2,2,2,2,2,,,,,,,,04,1,05,1159.4765874
5418349,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1338.9563465
5418349,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1338.9563465
5418350,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1338.9563465
5418350,1,2,1,50,05,1,2,,2,2,,2,2,2,1,,,,,,,,1,04,1,05,1338.9563465
5418352,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1372.919943
5418352,1,2,1,50,05,1,,,1,6,CUIDAR PADRES EN UN MUNICIPIO FUERA DE MEDELLIN,2,2,2,2,2,,,,,,,,04,1,05,1372.919943
5418353,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1126.1124225
5418353,1,2,1,50,05,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,05,1126.1124225
5418353,1,3,1,50,05,1,,,3,3,,2,2,2,2,2,,,,,,,,04,1,05,1126.1124225
5418354,1,1,1,50,05,1,,,1,6,SENTADO Y MANTENIMIENTO DE SU VIVIENDA,2,2,2,2,2,,,,,,,,04,1,05,1138.762819
5418354,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1138.762819
5418354,1,3,1,50,05,1,,,3,6,JUGAR CON CELULAR,2,2,2,2,1,11,,,,,,,04,1,05,1138.762819
5418354,1,4,1,50,05,1,,,4,3,,2,2,2,2,2,,,,,,,,04,1,05,1138.762819
5418355,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1397.4343968
5418355,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1397.4343968
5418355,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1397.4343968
5418355,1,4,1,50,05,1,1,,4,2,,2,2,2,1,,,,,,,,1,04,1,05,1397.4343968
5418355,1,5,1,50,05,1,,,5,1,,,,,,,,,,,,,,04,1,05,1397.4343968
5418356,1,1,1,50,05,1,2,,1,2,,2,2,2,1,,,,,,,,1,04,1,05,1205.9133027
5418357,1,1,1,50,05,1,,,1,4,,2,2,2,2,1,10,,,,,,,04,1,05,1567.1085675
5418359,1,1,1,50,05,1,,,1,6,HACER DILIGENCIAS PERSONALES,2,2,2,2,1,10,,,,,,,04,1,05,1463.8061657
5418360,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1161.0889512
5418360,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,9,,,,,,,04,1,05,1161.0889512
5418360,1,3,1,50,05,1,,,3,3,,2,2,2,2,2,,,,,,,,04,1,05,1161.0889512
5418360,1,4,1,50,05,1,,,4,6,VACACIONES DE SEMANA SANTA Y ESTUDIANDO,2,2,2,2,2,,,,,,,,04,1,05,1161.0889512
5418361,1,1,1,50,05,1,,,1,4,,1,,,,,,,,,,,,04,1,05,1272.4052945
5418361,1,2,1,50,05,1,,,2,6,VACACIONES,2,1,,,,,,,,,,,04,1,05,1272.4052945
5418361,1,3,1,50,05,1,3,,3,6,CUIDANDO SU HIJA,2,2,2,1,,,,,,,,1,04,1,05,1272.4052945
5418362,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1223.8393177
5418363,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1249.7889726
5418363,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,11,,,,,,,04,1,05,1249.7889726
5418364,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1367.8214872
5418364,1,2,1,50,05,1,,,2,4,,2,1,,,,,,,,,,,04,1,05,1367.8214872
5418364,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1367.8214872
5418364,1,4,1,50,05,1,,,4,1,,,,,,,,,,,,,,04,1,05,1367.8214872
5418365,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1223.8393177
5418366,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1466.5939191
5418366,1,2,1,50,05,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,05,1466.5939191
5418367,1,1,1,50,05,1,1,,1,2,,2,2,2,1,,,,,,,,1,04,1,05,1285.6551226
5418367,1,2,1,50,05,1,1,,2,4,,2,2,2,1,,,,,,,,1,04,1,05,1285.6551226
5418368,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1491.6583742
5418368,1,2,1,50,05,1,,,2,6,CUIDANDO SUS HIJOS,2,2,2,2,2,,,,,,,,04,1,05,1491.6583742
5418369,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1344.1922332
5418369,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1344.1922332
5418370,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1496.3345611
5418370,1,2,1,50,05,1,3,,2,4,,2,2,2,1,,,,,,,,1,04,1,05,1496.3345611
5418370,1,4,1,50,05,1,,,4,1,,,,,,,,,,,,,,04,1,05,1496.3345611
5418372,1,1,1,50,05,1,,,1,4,,2,2,2,2,1,9,,,,,,,04,1,05,1153.0653112
5418372,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1153.0653112
5418372,1,3,1,50,05,1,,,3,6,VER TELEVISION,2,2,2,2,1,9,,,,,,,04,1,05,1153.0653112
5418373,1,1,1,50,05,1,,,1,4,,2,2,2,2,1,13,PANDEMIA,,,,,,04,1,05,1209.5368255
5418373,1,2,1,50,05,1,,,2,4,,1,,,,,,,,,,,,04,1,05,1209.5368255
5418374,1,1,1,50,05,1,,,1,6,PASEAR,2,2,2,2,2,,,,,,,,04,1,05,1249.7889726
5418374,1,2,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1249.7889726
5418375,1,1,1,50,05,1,1,,1,2,,2,2,2,1,,,,,,,,1,04,1,05,1115.6009174
5418375,1,2,1,50,05,1,2,,2,4,,2,2,2,1,,,,,,,,1,04,1,05,1115.6009174
5418375,1,3,1,50,05,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,05,1115.6009174
5418375,1,4,1,50,05,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,05,1115.6009174
5418376,1,1,1,50,05,1,,,1,4,,2,2,2,2,1,11,,,,,,,04,1,05,1332.3776062
5418377,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1270.502741
5418377,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1270.502741
5418377,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,04,1,05,1270.502741
5418378,1,1,1,50,05,1,,,1,4,,1,,,,,,,,,,,,04,1,05,1249.7889726
5418378,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,9,,,,,,,04,1,05,1249.7889726
5418379,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1612.886791
5418379,1,2,1,50,05,1,1,,1,6,PASEANDO,2,2,2,1,,,,,,,,1,04,1,05,1612.886791
5418380,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,04,1,05,1456.0824139
5418380,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,05,1456.0824139
5418380,1,3,1,50,05,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,05,1456.0824139
5418381,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,05,1249.7889726
5418381,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,04,1,05,1249.7889726
5418383,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,132.3216116
5418383,1,2,1,50,15,1,,,2,1,,,,,,,,,,,,,,04,1,15,132.3216116
5418383,1,3,1,50,15,1,,,3,1,,,,,,,,,,,,,,04,1,15,132.3216116
5418384,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,114.94551634
5418384,1,2,1,50,15,1,,,2,1,,,,,,,,,,,,,,04,1,15,114.94551634
5418384,1,3,1,50,15,1,,,3,1,,,,,,,,,,,,,,04,1,15,114.94551634
5418384,1,4,1,50,15,1,,,4,3,,2,2,1,,,,,,,,,,04,1,15,114.94551634
5418384,1,5,1,50,15,1,,,5,1,,,,,,,,,,,,,,04,1,15,114.94551634
5418384,1,7,1,50,15,1,,,7,5,,,,,,,,,,,,,,04,1,15,114.94551634
5418384,1,8,1,50,15,1,,,8,5,,,,,,,,,,,,,,04,1,15,114.94551634
5418385,1,1,1,50,15,1,,,1,4,,2,2,2,2,2,,,,,,,,04,1,15,142.62364754
5418386,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,88.877926451
5418386,1,2,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,15,88.877926451
5418386,1,3,1,50,15,1,,,1,5,,,,,,,,,,,,,,04,1,15,88.877926451
5418386,1,4,1,50,15,1,,,4,3,,2,2,2,2,1,12,,,,,,,04,1,15,88.877926451
5418387,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,112.72077532
5418387,1,2,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,15,112.72077532
5418387,1,3,1,50,15,1,,,3,3,,2,2,2,2,2,,,,,,,,04,1,15,112.72077532
5418387,1,4,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,15,112.72077532
5418388,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,111.06306534
5418388,1,2,1,50,15,1,,,2,3,,2,2,2,2,2,,,,,,,,04,1,15,111.06306534
5418389,1,1,1,50,15,1,,,1,6,PENSIONADA,2,2,2,2,2,,,,,,,,04,1,15,110.47844705
5418389,1,2,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,15,110.47844705
5418390,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,116.75128801
5418390,1,2,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,15,116.75128801
5418390,1,3,1,50,15,1,1,,3,3,,2,2,2,1,,,,,,,,1,04,1,15,116.75128801
5418391,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,133.09394711
5418391,1,2,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,04,1,15,133.09394711
5418392,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,138.35180861
5418393,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,04,1,15,119.06323338
